Community Partner
Coding Girls
EWIT – Executive Women in Tech
BOARD
Women in Tech
Codemotion
SheCanCode
Tech Informed
Women in Security and Privacy
PyLadies Ghana
PowerToFly
Technology Record
WomenInTechPK
Female Techpreneur
AllTech
Reed Women in Technology Community
Female Tech Leaders
GermanTechJobs.de
Coding Black Females
Technology Magazine
Women in Blockchain Africa
Women Entrepreneurs Review
Remote IT World
Strong Women in IT
Black Women Talk Tech
IFEL – Institute for Entrepreneurial Leadership
Eventible
WICS
Femme Lead
Journi
Mobidictum
Led by Community
Elevate Women in Tech
Le Wagon
Technogals
WBS Coding School
Women Techmakers
Global Female Entrepreneurs Summit
Times of AI
Kimolian Academy
Y-WE
SheCodes
FundHer
Girls Leading Tech
Nomads & Pirates
Women in Tech DXB
Hera Hub
Youth Employment Services (YES)
S&B
Academy Achievers
"WICCI – Technology Empowerment Council, Karnataka"
InnovationHongKong
Women Technology House
BBWIC
Tech Sisters Kenya
KeepCoding Tech School
NexaScale
Women Coding Community (WCC)
LadyTech Africa (LTA)
Ladies that UX Porto
She is Mom
Fundación MET – Mujeres en Tec
Sysadminas
TIVEA
Hispanotech.ca
Women in Tech (logo with code tag)
DevyaTech
Mujeres x El Mundo
Empire Weekly
CodeVA
Code Excursion
Retail Women in Tech
#LatinaGeeks
Women in Technology Spotlight
GDG Sofia
AI Tools Network (ATN)
I AM WHO I SAY I AM
HAISA – Human-AI Symbiosis Alliance
SomosNLP
AIPressRoom
Qubit Labs
Mama Biz
